order_id,order_date,origin_port,carrier,tpt,service_level,ship_ahead_day_count,ship_late_day_count,customer,product_id,plant_code,destination_port,unit_quantity,weight
1.4473100387e9,2013-05-26,PORT04,V444_1,1,DTD,1,0,V555555555555555555_17,1677878,PLANT03,PORT09,1284,3.718129313987877
1.4473648597e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1690614,PLANT03,PORT09,311,0.3775788104843441
1.4472407147e9,2013-05-26,PORT04,V444_1,1,DTD,5,0,V55555555555555_8,1676565,PLANT03,PORT09,441,2.7785787163364586
1.4471729467e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_14,1689469,PLANT03,PORT09,1243,20.416436242042316
1.4472837937e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V555555_6,1675655,PLANT03,PORT09,3166,20.700000000000003
1.4473977117e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_27,1687346,PLANT03,PORT09,397,1.4401250275148572
1.4474183467e9,2013-05-26,PORT04,V444_0,2,DTP,5,0,V55555555_7,1668545,PLANT03,PORT09,688,3.8882156334231808
1.4471540877e9,2013-05-26,PORT04,V444_0,2,DTP,3,0,V5555555_12,1622685,PLANT03,PORT09,369,0.6629337539432176
1.4473518027e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V55_13,1696758,PLANT03,PORT09,382,2.998623283013858
1.4471851907e9,2013-05-26,PORT04,V44_3,0,CRF,3,0,V55555555_32,1699842,PLANT03,PORT09,8662,17.660653161290323
1.4472291717e9,2013-05-26,PORT04,V444_1,1,DTD,1,0,V555555555555555555_17,1683190,PLANT03,PORT09,295,0.665529010238908
1.4472656877e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_14,1689145,PLANT03,PORT09,2275,6.24
1.4472991787e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1688290,PLANT03,PORT09,299,0.19900746896440907
1.4473911137e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V5555_33,1688288,PLANT03,PORT09,256,0.21320431603350354
1.4472202297e9,2013-05-26,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699950,PLANT03,PORT09,1493,19.9700778891971
1.4473864417e9,2013-05-26,PORT04,V444_1,2,DTD,0,0,V55555_10,1683387,PLANT12,PORT09,337,2.3422883858461057
