lambda,monetary_with_time,time_with_opt
0.0,1.6515731729528552e6,4818.0
0.1,1.6515810109209265e6,1356.0
0.2,1.6515905443743407e6,1260.0
0.3,1.6515816824531087e6,1253.0
0.4,1.6515846497671513e6,1253.0
0.5,1.6516012036225863e6,1253.0
0.6,1.6516357623507674e6,1256.0
0.7,1.6515993248165697e6,1253.0
0.8,1.6516031399237227e6,1252.0
0.9,1.6515853366626054e6,1252.0
1.0,1.1462246139903013e7,292.0
